date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:27	373/373	---M-Z	200	added ('OK')	text/plain	etag:%22588-53aa0b4cc0080-gzip%22	https://groups.csail.mit.edu/robots.txt		(from )
17:58:27	2892/2892	---M--	200	added ('OK')	text/html	etag:%22b4c-332f3f42a8140%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/index.html	(from )
17:58:28	360/360	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:28%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:29	2517/2517	---M--	200	added ('OK')	text/html	etag:%229d5-332f3f72571c0%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps13web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps13web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:29	2979/2979	---M--	200	added ('OK')	text/html	etag:%22ba3-332f3fc45b340%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:29	6161/6161	---M-Z	200	added ('OK')	text/plain	etag:%221811-332f3fcde49c0-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web/ps12-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps12web/ps12-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:30	360/360	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:30%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:31	3123/3123	---M--	200	added ('OK')	text/html	etag:%22c33-332f3f771bd00%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:31	11141/11141	---M-Z	200	added ('OK')	text/plain	etag:%222b85-332f3f80a5380-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web/ps11-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps11web/ps11-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:32	360/360	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:32%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:33	12953/12953	---M-Z	200	added ('OK')	text/plain	etag:%223299-332f3fbea25c0-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web/ps10-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web/ps10-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:34	359/359	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:34%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:34	2826/2826	---M--	200	added ('OK')	text/html	etag:%22b0a-332f3fad77d40%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps10web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:35	2979/2979	---M--	200	added ('OK')	text/html	etag:%22ba3-332f3f81995c0%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:35	1792/1792	---M--	200	added ('OK')	text/html	etag:%22700-332f3f734b400%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps9web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps9web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:35	2769/2769	---M-Z	200	added ('OK')	text/plain	etag:%22ad1-332f3fac83b00-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web/ps8-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps8web/ps8-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:36	359/359	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:35%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:37	8296/8296	---M-Z	200	added ('OK')	text/plain	etag:%222068-332f3f72571c0-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web/ps7-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web/ps7-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:37	2991/2991	---M--	200	added ('OK')	text/html	etag:%22baf-332f3f612c940%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps7web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:38	359/359	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Aug%202022%2022:58:38%20GMT	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:39	2698/2698	---M--	200	added ('OK')	text/html	etag:%22a8a-332f3f50020c0%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:39	9075/9075	---M-Z	200	added ('OK')	text/plain	etag:%222373-332f3f50f6300-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web/ps6-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps6web/ps6-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:40	7047/7047	---M-Z	200	added ('OK')	text/plain	etag:%221b87-332f3f2517b80-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps4web/ps4-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps4web/ps4-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:41	7896/7896	---M-Z	200	added ('OK')	text/plain	etag:%221ed8-332f3f612c940-gzip%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps3web/ps3-ans.txt	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps3web/ps3-ans.txt	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:42	2668/2668	---M--	200	added ('OK')	text/html	etag:%22a6c-332f3f18b1e40%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps4web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps4web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:42	1960/1960	---M--	200	added ('OK')	text/html	etag:%227a8-332f3f7627ac0%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps5web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps5web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:42	2697/2697	---M--	200	added ('OK')	text/html	etag:%22a89-332f3f51ea540%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps3web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps3web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:42	2553/2553	---M--	200	added ('OK')	text/html	etag:%229f9-332f3f3b06f40%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps2web/ps2-solutions/solutions.html	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps2web/ps2-solutions/solutions.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:43	7540/7540	---M--	200	added ('OK')	text/html	etag:%221d74-332f3f07875c0%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps1web/ps1-ans.html	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps1web/ps1-ans.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
17:58:43	2649/2649	---M--	200	added ('OK')	text/html	etag:%22a59-332f3f2517b80%22	https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps2web/	srv/groups.csail.mit.edu/mac/classes/6.001/ST98/psets/ps2web/index.html	(from https://groups.csail.mit.edu/mac/classes/6.001/ST98/psets/)
